,% correct,epoch,loss,n actions,sum loss
0,0.38900524377822876,0,1.864141821861267,9550.0,17802.5546875
1,0.7705759406089783,100,1.231415033340454,9550.0,11760.013671875
2,0.7608376741409302,200,1.2065184116363525,9550.0,11522.2509765625
3,0.7653403282165527,300,1.1961665153503418,9550.0,11423.390625
4,0.7665968537330627,400,1.1894872188568115,9550.0,11359.6025390625
5,0.7691099643707275,500,1.1838334798812866,9550.0,11305.609375
6,0.7718324661254883,600,1.1780877113342285,9550.0,11250.7373046875
7,0.7774869203567505,700,1.1731549501419067,9550.0,11203.6298828125
8,0.7763350605964661,800,1.1686097383499146,9550.0,11160.22265625
9,0.7760209441184998,900,1.1643763780593872,9550.0,11119.794921875
10,0.7779057621955872,1000,1.1602026224136353,9550.0,11079.9345703125
